date,protocol,chain,tvl,tvl_start,tvl_current,tvl_delta
2024-07-08 00:00:00,Renzo,Base,2817515.67877,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,Renzo,Base,2934342.06739,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,Renzo,Base,3206469.60168,198614.72293,500739740.11673,500541125.39379996
2024-07-11 01:06:59,Renzo,Base,3963634.48222,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,Renzo,Mode,50371511.08867,400.21497,4099300.83197,4098900.617
2024-07-09 00:00:00,Renzo,Mode,50651346.26765,400.21497,4099300.83197,4098900.617
2024-07-10 00:00:00,Renzo,Mode,51287720.88623,400.21497,4099300.83197,4098900.617
2024-07-11 01:06:59,Renzo,Mode,51684381.45228,400.21497,4099300.83197,4098900.617
2024-07-08 00:00:00,Morpho,Base,35835641.51398,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,Morpho,Base,37834098.9667,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,Morpho,Base,40104807.54124,198614.72293,500739740.11673,500541125.39379996
2024-07-11 00:00:00,Morpho,Base,41169211.911145,198614.72293,500739740.11673,500541125.39379996
2024-07-11 02:12:24,Morpho,Base,42233616.28105,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,Velodrome,Optimism,86036995.87955,9344756.32025,88654193.23673,79309436.91647999
2024-07-09 00:00:00,Velodrome,Optimism,87648765.0206,9344756.32025,88654193.23673,79309436.91647999
2024-07-10 00:00:00,Velodrome,Optimism,87977537.92650999,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 00:00:00,Velodrome,Optimism,88315865.58162001,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 02:12:27,Velodrome,Optimism,88654193.23673,9344756.32025,88654193.23673,79309436.91647999
2024-07-08 00:00:00,Aerodrome,Base,485102837.71783,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,Aerodrome,Base,488836025.86786,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,Aerodrome,Base,491662951.47830003,198614.72293,500739740.11673,500541125.39379996
2024-07-11 00:00:00,Aerodrome,Base,496201345.79751503,198614.72293,500739740.11673,500541125.39379996
2024-07-11 02:12:30,Aerodrome,Base,500739740.11673,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,ionic-protocol,Mode,167073991.13984,400.21497,4099300.83197,4098900.617
2024-07-09 00:00:00,ionic-protocol,Mode,167823978.20561,400.21497,4099300.83197,4098900.617
2024-07-10 00:00:00,ionic-protocol,Mode,169039827.98722,400.21497,4099300.83197,4098900.617
2024-07-11 01:05:59,ionic-protocol,Mode,169049541.73854,400.21497,4099300.83197,4098900.617
2024-07-08 00:00:00,extra-finance,Base,82243496.02032,198614.72293,500739740.11673,500541125.39379996
