date,protocol,chain,tvl,tvl_start,tvl_current,tvl_delta
2024-07-09 00:00:00,ionic-protocol,Mode,167823978.20561,167823978.20561,169608985.77511,1785007.5694999993
2024-07-10 00:00:00,ionic-protocol,Mode,169039827.98722,167823978.20561,169608985.77511,1785007.5694999993
2024-07-10 19:15:11,ionic-protocol,Mode,169608985.77511,167823978.20561,169608985.77511,1785007.5694999993
